OTU	4robles_ITS2	C-_ITS2	Gambita_1_ITS2	La_Palma5_ITS2	N5_ITS2	Nuevo_Horizonte_ITS2	Pcf1_ITS2	Pcov3_ITS2	San_Isidro_ITS2	Santa_BarbT1_ITS2
OTU.ITSx.1	0	0	4969	499	1652	0	0	84	4630	11550
OTU.ITSx.2	10	0	22	0	0	14	4812	0	209	37
OTU.ITSx.3	2426	0	502	43	19	315	572	36	49	447
OTU.ITSx.4	0	0	0	0	0	0	4261	1	0	1
OTU.ITSx.5	0	0	51	0	0	2335	0	0	0	0
OTU.ITSx.6	1981	0	0	0	0	0	0	0	0	0
OTU.ITSx.7	0	0	0	0	0	0	792	0	0	0
OTU.ITSx.8	72	0	198	58	33	189	79	21	18	111
OTU.ITSx.9	545	0	61	0	5	94	1	0	0	8
OTU.ITSx.10	391	0	29	0	2	127	74	30	18	4
OTU.ITSx.11	33	0	363	19	11	41	7	3	10	48
OTU.ITSx.12	0	0	0	0	0	404	0	0	0	0
OTU.ITSx.13	0	0	0	15	17	0	0	0	8	351
OTU.ITSx.14	146	0	13	0	0	3	196	2	0	3
OTU.ITSx.15	323	0	0	0	0	0	22	3	0	0
OTU.ITSx.16	0	0	0	0	0	335	0	0	0	0
OTU.ITSx.17	0	0	0	0	0	315	0	0	0	0
OTU.ITSx.18	127	0	149	14	12	0	5	0	0	0
OTU.ITSx.19	0	0	0	36	0	130	63	31	0	0
OTU.ITSx.20	125	0	0	0	0	0	104	0	0	0
OTU.ITSx.21	41	0	0	0	0	169	0	4	2	0
OTU.ITSx.22	3	0	38	12	24	37	14	11	24	47
OTU.ITSx.23	0	0	0	35	32	1	0	0	5	127
OTU.ITSx.24	118	0	0	0	13	12	15	0	12	0
OTU.ITSx.25	0	0	54	0	0	114	0	0	0	0
OTU.ITSx.26	23	0	83	0	0	59	0	0	0	0
OTU.ITSx.27	13	0	6	0	0	0	120	13	0	0
OTU.ITSx.28	0	0	0	0	0	50	1	0	0	92
OTU.ITSx.29	2	0	0	2	3	0	0	0	12	120
OTU.ITSx.30	0	0	17	0	0	119	0	0	0	0
OTU.ITSx.31	26	0	0	0	0	0	101	0	0	0
OTU.ITSx.32	29	0	11	9	0	45	11	6	5	6
OTU.ITSx.33	0	0	0	0	20	0	0	0	0	99
OTU.ITSx.34	0	0	0	0	0	0	0	115	0	0
OTU.ITSx.35	0	0	0	0	0	0	0	105	0	0
OTU.ITSx.36	5	0	0	0	79	0	5	0	1	12
OTU.ITSx.37	0	0	0	0	0	101	0	0	0	0
OTU.ITSx.38	0	0	0	9	0	37	54	0	0	0
OTU.ITSx.39	20	0	31	0	0	37	2	7	2	0
OTU.ITSx.40	0	0	0	0	0	0	0	0	0	97
OTU.ITSx.41	0	0	73	0	2	9	0	0	5	8
OTU.ITSx.42	20	0	0	0	0	3	71	0	0	0
OTU.ITSx.43	11	0	11	11	0	38	10	3	0	10
OTU.ITSx.44	13	0	0	0	0	4	76	0	0	0
OTU.ITSx.45	0	0	5	0	31	0	0	0	57	0
OTU.ITSx.46	14	0	7	7	6	16	19	0	2	19
