SampleID	Barcode	Read1Accepted	Read1Filtered	Read1PassedFrac	Read2Accepted	Read2Filtered	Read2PassedFrac
4robles_ITS2		129869	106152	0.55	105861	0	1
C-_ITS2		22	2219	0.00982	45	0	1
Gambita_1_ITS2		99571	85541	0.538	81952	0	1
La_Palma5_ITS2		102875	81247	0.559	90042	0	1
N5_ITS2		115617	55750	0.675	87606	0	1
Nuevo_Horizonte_ITS2		92149	115282	0.444	99851	0	1
Pcf1_ITS2		85474	124588	0.407	98664	0	1
Pcov3_ITS2		59050	43869	0.574	54478	0	1
San_Isidro_ITS2		120576	70801	0.63	93869	0	1
Santa_BarbT1_ITS2		121916	91803	0.57	121042	0	1
