#qual_	FilteredP1	FilteredP2	AddFilterP1	AddFilterP2	RawReadsP1	RawReadsP2
14	0	0	0	0	0	228
15	0	0	0	0	14	1291
16	0	0	0	0	123	976
17	0	0	0	0	392	1950
18	0	0	0	0	1339	4788
19	0	0	0	0	2239	9374
20	0	0	0	0	2880	13369
21	0	0	0	0	3550	15673
22	0	0	0	0	5745	13809
23	0	0	0	0	7158	12452
24	0	0	0	0	7620	13100
25	0	0	0	0	8157	16132
26	0	0	0	0	9403	21239
27	0	1	9	0	11621	31056
28	10	149	147	0	13869	47017
29	251	2620	380	0	18144	78656
30	643	18314	614	0	24936	129445
31	2123	79429	1399	1	42891	222222
32	17660	262911	9171	0	102060	390722
33	304027	374374	148607	0	570603	481220
34	509006	95612	197672	0	778228	106253
