OTU	Domain	Phylum	Class	Order	Family	Genus	Species
OTU1	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	unidentified
OTU2	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	unidentified
OTU3	Fungi	Basidiomycota	Agaricomycetes	Agaricales	?	?	?
OTU4	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Pseudocraterellus	Pseudocraterellus_undulatus
OTU5	Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	Oidiodendron	Oidiodendron_chlamydosporicum
OTU6	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	unidentified
OTU7	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_humilis
OTU8	Fungi	Ascomycota	Saccharomycetes	?	?	?	?
OTU9	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	?	?
OTU10	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	?	?	?
OTU11	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	?	?
OTU12	Fungi	Ascomycota	Leotiomycetes	Helotiales	?	?	?
OTU13	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	unidentified	?
OTU14	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_pulchella
OTU15	Fungi	unidentified	unidentified	unidentified	?	?	?
OTU16	Fungi	?	?	?	?	?	?
OTU17	Fungi	?	?	?	?	?	?
OTU18	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	unidentified
OTU19	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	?
OTU20	Fungi	Basidiomycota	Agaricomycetes	?	?	?	?
OTU21	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	unidentified	unidentified
OTU22	Fungi	Mucoromycota	Umbelopsidomycetes	Umbelopsidales	Umbelopsidaceae	Umbelopsis	unidentified
OTU23	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	?
OTU24	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	unidentified	unidentified
OTU25	Fungi	Mucoromycota	Umbelopsidomycetes	Umbelopsidales	Umbelopsidaceae	Umbelopsis	Umbelopsis_dimorpha
OTU26	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	unidentified
OTU27	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	?
OTU28	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_trivialis
OTU29	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	?
OTU30	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_vesca
OTU31	Fungi	Basidiomycota	Agaricomycetes	?	?	?	?
OTU32	Fungi	?	?	?	?	?	?
OTU33	Fungi	Ascomycota	Dothideomycetes	Mytilinidales	Gloniaceae	Cenococcum	Cenococcum_geophilum
OTU34	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	unidentified	unidentified	unidentified
OTU35	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	unidentified	unidentified	unidentified
OTU36	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius_deceptivus
OTU37	Fungi	Basidiomycota	Geminibasidiomycetes	Geminibasidiales	Geminibasidiaceae	Geminibasidium	unidentified
OTU38	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unidentified	unidentified	?
OTU39	Fungi	Mucoromycota	?	?	?	?	?
OTU40	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	?	?
OTU41	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	?
OTU42	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	?	?
OTU43	Fungi	Mucoromycota	Umbelopsidomycetes	GS23	unidentified	unidentified	unidentified
OTU44	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	unidentified	unidentified	?
OTU45	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	?	?
OTU46	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	?
OTU47	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Elaphomycetaceae	Elaphomyces	Elaphomyces_cyanosporus
OTU48	Fungi	Ascomycota	Saccharomycetes	?	?	?	?
OTU49	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	unidentified
OTU50	Fungi	Ascomycota	Leotiomycetes	Helotiales	unidentified	unidentified	unidentified
OTU51	Fungi	Ascomycota	Eurotiomycetes	?	?	?	?
OTU52	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	?	?
OTU53	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	?
OTU54	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Tolypocladium	?
OTU55	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	unidentified
OTU56	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_cyanoxantha
OTU57	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	?
OTU58	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius_deceptivus
OTU59	Fungi	Basidiomycota	Agaricomycetes	Russulales	?	?	?
OTU60	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Elaphomycetaceae	Elaphomyces	unidentified
OTU61	Fungi	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	?
OTU62	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	?
OTU63	Fungi	?	?	?	?	?	?
OTU64	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_gemmifera
OTU65	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	unidentified
OTU66	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unidentified	?	?
OTU67	Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	Oidiodendron	Oidiodendron_echinulatum
OTU68	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	unidentified
OTU69	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	unidentified	unidentified
OTU70	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita_brunneolocularis
OTU71	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	?
OTU72	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	unidentified	unidentified
OTU73	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	unidentified
OTU74	Fungi	Basidiomycota	Agaricomycetes	Russulales	?	?	?
OTU75	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_biramosa
OTU76	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	unidentified
OTU77	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_virens
OTU78	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	unidentified	unidentified
OTU79	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Sagenomella	?
OTU80	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	?
OTU81	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	unidentified	unidentified
OTU82	Fungi	Ascomycota	?	?	?	?	?
OTU83	Fungi	Mucoromycota	Umbelopsidomycetes	GS23	unidentified	unidentified	unidentified
OTU84	Fungi	Ascomycota	Eurotiomycetes	?	?	?	?
OTU85	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	?	?
OTU86	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	unidentified	unidentified	unidentified
OTU87	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	unidentified	unidentified
OTU88	Fungi	Mucoromycota	Umbelopsidomycetes	GS23	unidentified	unidentified	unidentified
OTU89	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	?
OTU90	Fungi	Ascomycota	Leotiomycetes	Helotiales	?	?	?
OTU91	Fungi	Chytridiomycota	Chytridiomycetes	Chytridiales	Chytriomycetaceae	Rhizidium	Rhizidium_phycophilum
OTU92	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	?	?
OTU93	Fungi	Basidiomycota	?	?	?	?	?
OTU94	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	unidentified	unidentified
OTU95	Fungi	Ascomycota	Leotiomycetes	Helotiales	?	?	?
OTU96	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	?	?
OTU97	Fungi	Basidiomycota	Agaricomycetes	Agaricales	?	?	?
OTU98	Fungi	Ascomycota	Sordariomycetes	Sordariales	unidentified	unidentified	unidentified
OTU99	Fungi	Basidiomycota	?	?	?	?	?
OTU100	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Clavulinaceae	unidentified	?
OTU101	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	?
OTU102	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	?
OTU103	Fungi	Ascomycota	Leotiomycetes	?	?	?	?
OTU104	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Byssocorticium	Byssocorticium_pulchrum
OTU105	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	unidentified	unidentified
OTU106	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	unidentified
OTU107	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	?	?
OTU108	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	?	?
OTU109	Fungi	Mucoromycota	Endogonomycetes	GS20	unidentified	unidentified	unidentified
OTU110	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	unidentified
OTU111	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	unidentified
OTU112	Fungi	Ascomycota	Leotiomycetes	Helotiales	?	?	?
OTU113	Fungi	?	?	?	?	?	?
OTU114	Fungi	Mortierellomycota	?	?	?	?	?
OTU115	Fungi	Basidiomycota	Agaricomycetes	Russulales	?	?	?
OTU116	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	?	?	?
OTU117	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	unidentified	unidentified
OTU118	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_oblongisporum
OTU119	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	unidentified
OTU120	Fungi	Ascomycota	Leotiomycetes	Helotiales	?	?	?
OTU121	Fungi	Ascomycota	Sordariomycetes	Sordariales	unidentified	unidentified	?
OTU122	Fungi	Ascomycota	Leotiomycetes	Helotiales	?	?	?
OTU123	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Leohumicola	?
OTU124	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita_brunnescens
OTU125	Fungi	Chytridiomycota	?	?	?	?	?
OTU126	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	unidentified
OTU127	Fungi	Ascomycota	Leotiomycetes	Helotiales	unidentified	unidentified	unidentified
OTU128	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	?
OTU129	Fungi	Ascomycota	Leotiomycetes	?	?	?	?
OTU130	Fungi	Ascomycota	Leotiomycetes	Helotiales	unidentified	?	?
OTU131	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	?	?
OTU132	Fungi	Ascomycota	?	?	?	?	?
OTU133	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	?
