Class	4robles_ITS2	C-_ITS2	Gambita_1_ITS2	La_Palma5_ITS2	N5_ITS2	Nuevo_Horizonte_ITS2	Pcf1_ITS2	Pcov3_ITS2	San_Isidro_ITS2	Santa_BarbT1_ITS2
?;?;?	28	0	24	16	23	18	14	23	9	112
Fungi;?;?	3498	0	3896	7625	6304	5941	3251	3052	2019	14809
Fungi;Ascomycota;?	1844	0	2249	1496	1064	3423	1719	2916	1132	1245
Fungi;Ascomycota;Archaeorhizomycetes	10	0	2646	210	23	3497	2	470	163	17
Fungi;Ascomycota;Dothideomycetes	3356	0	1679	1941	909	792	1453	884	1159	514
Fungi;Ascomycota;Eurotiomycetes	11766	0	5832	9073	9603	7314	6742	4758	12205	5725
Fungi;Ascomycota;Lecanoromycetes	0	0	341	0	0	634	0	0	43	32
Fungi;Ascomycota;Leotiomycetes	5112	13	18175	8235	8787	19424	2176	2569	14071	12306
Fungi;Ascomycota;Orbiliomycetes	8	0	0	248	0	40	1	742	0	20
Fungi;Ascomycota;Pezizomycetes	41	0	485	99	3	77	4	3	5	171
Fungi;Ascomycota;Saccharomycetes	12130	0	3462	2576	2904	5371	2401	2875	1666	8066
Fungi;Ascomycota;Sordariomycetes	8599	1	5764	7010	8855	9464	6839	2872	4739	11365
Fungi;Ascomycota;Xylonomycetes	0	0	8	6	0	0	1	0	0	24
Fungi;Ascomycota;unidentified	29	0	317	76	0	50	31	174	41	238
Fungi;Basidiomycota;?	2237	0	237	372	406	3332	753	872	511	1871
Fungi;Basidiomycota;Agaricomycetes	99202	3	69023	70789	69126	69215	66271	38581	71530	38956
Fungi;Basidiomycota;Cystobasidiomycetes	0	0	0	14	0	0	0	0	0	0
Fungi;Basidiomycota;GS26	0	0	0	0	0	0	0	0	38	0
Fungi;Basidiomycota;Geminibasidiomycetes	0	0	0	228	1183	192	0	0	2742	3908
Fungi;Basidiomycota;Malasseziomycetes	0	0	0	0	3	0	0	0	11	0
Fungi;Basidiomycota;Microbotryomycetes	290	0	550	528	5386	1701	263	267	822	3403
Fungi;Basidiomycota;Tremellomycetes	1078	0	530	479	232	291	305	47	6109	133
Fungi;Basidiomycota;unidentified	0	0	0	0	39	0	0	0	0	0
Fungi;Calcarisporiellomycota;?	1	0	0	1	0	0	4	0	0	0
Fungi;Calcarisporiellomycota;Calcarisporiellomycetes	64	0	21	3	23	19	6	1	33	4
Fungi;Chytridiomycota;?	1095	0	32	0	1	83	99	25	57	24
Fungi;Chytridiomycota;Chytridiomycetes	122	0	116	144	57	327	2045	40	47	13
Fungi;Chytridiomycota;Rhizophydiomycetes	20	0	0	0	0	11	258	1	0	29
Fungi;Chytridiomycota;unidentified	17	0	64	2	1	34	13	0	0	15
Fungi;Glomeromycota;?	0	0	0	0	0	0	0	71	0	0
Fungi;Glomeromycota;Glomeromycetes	4	0	63	0	0	215	0	0	0	25
Fungi;Kickxellomycota;?	36	0	39	49	24	26	9	26	114	231
Fungi;Kickxellomycota;Kickxellomycetes	0	0	0	0	0	0	0	0	0	101
Fungi;Mortierellomycota;?	438	0	33	69	70	350	936	51	180	13
Fungi;Mortierellomycota;Mortierellomycetes	4000	0	2469	5791	1763	5813	25799	9326	2970	10633
Fungi;Mucoromycota;?	470	0	2040	1398	700	1616	109	47	289	311
Fungi;Mucoromycota;Endogonomycetes	7	0	35	63	154	43	8	9	218	1287
Fungi;Mucoromycota;Mucoromycetes	0	0	0	1	0	1	0	12	0	0
Fungi;Mucoromycota;Umbelopsidomycetes	5	0	3216	8541	6097	161	300	682	6439	10880
Fungi;Mucoromycota;unidentified	0	0	0	0	0	0	0	30	0	0
Fungi;Rozellomycota;?	0	0	0	0	0	0	0	65	0	0
Fungi;Rozellomycota;Rozellomycotina_cls_Incertae_sedis	362	0	710	136	66	768	525	336	81	284
Fungi;unidentified;?	13	0	3	0	0	43	31	12	0	2
Fungi;unidentified;unidentified	310	0	954	2542	5068	292	74	682	2137	4875
Protista;unidentified;?	6	0	46	15	11	18	5	2	5	18
Rhizaria;Cercozoa;?	70	0	119	99	42	210	90	99	35	109
Rhizaria;Cercozoa;Cercozoa_cls_Incertae_sedis	2	0	20	113	32	19	12	9	3	85
Rhizaria;Cercozoa;unidentified	24	0	13	4	1	97	11	8	2	24
noHit;	851	0	506	490	500	1692	840	622	638	908
