Family	4robles_ITS2	C-_ITS2	Gambita_1_ITS2	La_Palma5_ITS2	N5_ITS2	Nuevo_Horizonte_ITS2	Pcf1_ITS2	Pcov3_ITS2	San_Isidro_ITS2	Santa_BarbT1_ITS2
?;?;?;?;?	28	0	24	16	23	18	14	23	9	112
Fungi;?;?;?;?	3498	0	3896	7625	6304	5941	3251	3052	2019	14809
Fungi;Ascomycota;?;?;?	1844	0	2249	1496	1064	3423	1719	2916	1132	1245
Fungi;Ascomycota;Archaeorhizomycetes;?;?	0	0	72	54	14	369	1	80	0	6
Fungi;Ascomycota;Archaeorhizomycetes;Archaeorhizomycetales;?	7	0	853	88	7	557	1	390	163	0
Fungi;Ascomycota;Archaeorhizomycetes;Archaeorhizomycetales;Archaeorhizomycetaceae	3	0	1529	68	0	2473	0	0	0	0
Fungi;Ascomycota;Archaeorhizomycetes;unidentified;?	0	0	0	0	0	0	0	0	0	11
Fungi;Ascomycota;Archaeorhizomycetes;unidentified;unidentified	0	0	192	0	2	98	0	0	0	0
Fungi;Ascomycota;Dothideomycetes;?;?	26	0	50	754	64	127	25	0	96	329
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;?	5	0	0	0	0	0	17	0	0	11
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae	0	0	0	0	0	41	0	0	0	0
Fungi;Ascomycota;Dothideomycetes;Capnodiales;?	0	0	3	42	0	0	3	0	45	0
Fungi;Ascomycota;Dothideomycetes;Capnodiales;unidentified	1	0	12	0	0	2	1	0	316	0
Fungi;Ascomycota;Dothideomycetes;Dothideales;Dothideaceae	0	0	4	0	0	0	0	11	2	0
Fungi;Ascomycota;Dothideomycetes;Mytilinidales;?	35	0	0	0	0	0	0	0	0	0
Fungi;Ascomycota;Dothideomycetes;Mytilinidales;Gloniaceae	3024	0	1504	820	805	450	1252	741	507	113
Fungi;Ascomycota;Dothideomycetes;Pleosporales;?	28	0	28	45	15	50	40	8	48	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Cucurbitariaceae	20	0	2	0	0	8	3	0	0	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae	1	0	0	92	3	5	0	0	0	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymosphaeriaceae	86	0	26	56	8	21	28	8	9	50
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Leptosphaeriaceae	0	0	1	112	0	5	0	0	0	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Lophiostomataceae	24	0	3	0	0	4	3	0	0	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Periconiaceae	15	0	0	0	0	18	0	0	0	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Sporormiaceae	0	0	15	0	4	11	2	0	3	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Teichosporaceae	1	0	8	0	0	3	0	0	16	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Thyridariaceae	9	0	5	0	0	4	2	0	3	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales;unidentified	26	0	3	12	1	11	10	0	3	11
Fungi;Ascomycota;Dothideomycetes;Tubeufiales;?	12	0	0	0	0	0	0	0	0	0
Fungi;Ascomycota;Dothideomycetes;Tubeufiales;Tubeufiaceae	0	0	0	0	0	3	2	6	5	0
Fungi;Ascomycota;Dothideomycetes;Venturiales;Sympoventuriaceae	25	0	9	8	0	28	29	0	0	0
Fungi;Ascomycota;Dothideomycetes;unidentified;unidentified	18	0	6	0	9	1	36	110	106	0
Fungi;Ascomycota;Eurotiomycetes;?;?	324	0	477	1442	762	92	525	317	3136	1903
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;?	234	0	1256	129	13	866	178	69	219	131
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Cyphellophoraceae	25	0	24	0	0	63	24	0	0	0
