OTU	4robles_ITS2	C-_ITS2	Gambita_1_ITS2	La_Palma5_ITS2	N5_ITS2	Nuevo_Horizonte_ITS2	Pcf1_ITS2	Pcov3_ITS2	San_Isidro_ITS2	Santa_BarbT1_ITS2
OTU1	33581	0	0	27140	0	0	1571	0	48749	0
OTU2	9832	0	14708	0	0	20760	0	30566	0	0
OTU3	0	0	0	0	33662	0	0	0	0	1600
OTU4	56	0	3357	239	0	1	22203	0	46	1
OTU5	0	0	3683	1762	3100	14	0	1001	9636	5999
OTU6	7358	0	1453	2966	3139	2251	2641	916	3709	667
OTU7	2050	0	668	1526	424	1955	4204	8140	1887	3324
OTU8	7691	0	2431	1790	1854	2815	498	1089	298	4291
OTU9	0	0	0	14257	0	0	0	0	0	7789
OTU10	0	0	32	4	3	20550	885	0	0	0
OTU11	13873	0	5432	0	0	0	7	117	1059	0
OTU12	140	0	2460	1428	2526	9155	113	729	1719	1570
OTU13	5880	0	49	103	74	495	9967	335	0	0
OTU14	493	0	1094	195	158	1223	11537	625	339	387
OTU15	4	0	899	2488	4923	228	8	608	1969	4473
OTU16	332	0	885	192	450	1053	973	1030	88	9841
OTU17	3030	0	497	2437	1446	2613	2152	869	295	1022
OTU18	0	0	0	0	0	116	12226	426	0	0
OTU19	0	0	0	9499	5	0	2756	0	0	128
OTU20	0	0	12346	0	24	3	0	0	0	0
OTU21	792	0	808	3042	2135	1167	547	391	403	2835
OTU22	0	0	49	2892	1598	0	0	0	3244	3990
OTU23	0	0	0	1491	0	1	163	0	6990	2948
OTU24	3251	0	6499	664	832	34	189	35	4	0
OTU25	0	0	3042	2104	1587	15	2	0	1997	2508
OTU26	0	0	0	0	1774	9468	0	0	0	0
OTU27	9276	0	41	0	0	0	768	0	0	0
OTU28	0	0	9384	0	0	0	0	0	0	0
OTU29	0	0	1034	1907	5792	191	0	0	100	84
OTU30	0	0	0	25	568	0	3805	0	709	3909
OTU31	0	0	0	0	5093	0	0	0	3512	0
OTU32	0	0	0	3887	2824	0	0	0	1020	714
OTU33	2639	0	1356	816	742	359	1076	624	500	83
OTU34	0	0	528	450	627	69	12	1148	1314	3407
OTU35	228	0	498	83	1794	1580	244	101	287	2600
OTU36	0	0	7345	0	0	0	0	0	0	0
OTU37	0	0	0	75	1110	0	0	0	2422	3693
OTU38	2419	0	142	276	1397	186	254	165	750	874
OTU39	466	0	2021	881	687	1616	108	47	247	289
OTU40	41	0	23	0	25	242	222	33	5661	63
OTU41	430	0	90	52	102	739	4616	24	66	96
OTU42	0	0	139	1765	219	5	75	0	274	3599
OTU43	0	0	0	2281	353	0	0	176	363	2572
OTU44	0	0	0	430	3540	0	0	65	477	776
OTU45	0	0	0	0	5006	0	0	212	0	0
OTU46	0	0	2736	0	0	0	0	0	2365	6
OTU47	0	0	0	1300	3378	6	0	0	36	0
OTU48	2551	0	136	0	0	1224	741	67	0	0
OTU49	368	0	198	1069	2547	0	289	0	235	0
OTU50	324	0	1538	1215	656	478	91	5	173	35
OTU51	304	0	430	1403	207	22	486	295	1232	135
OTU52	0	0	0	0	0	0	0	0	0	4510
OTU53	1408	0	0	0	0	0	2471	414	87	2
OTU54	467	0	471	249	205	1469	1126	291	40	11
OTU55	4091	0	4	0	0	6	223	0	0	0
OTU56	127	0	811	9	2	370	411	1023	0	1521
OTU57	0	0	0	1034	0	0	0	0	0	3018
OTU58	0	0	0	0	0	4002	0	0	0	0
OTU59	0	0	0	1183	0	0	0	0	0	2666
OTU60	1196	0	0	0	64	0	0	2242	204	0
OTU61	3	0	1248	0	0	2251	0	0	0	0
OTU62	2474	0	0	0	0	1023	1	0	0	0
OTU63	0	0	0	441	1060	0	0	63	274	1536
OTU64	884	0	100	493	315	56	853	68	68	496
OTU65	444	0	141	1055	803	13	55	154	608	23
OTU66	0	0	8	18	652	7	0	17	32	2561
OTU67	29	0	637	829	384	695	35	39	198	357
OTU68	233	0	107	0	72	1380	1089	56	95	11
OTU69	0	0	0	2965	4	16	0	0	15	0
OTU70	0	0	0	0	2165	0	0	0	417	397
OTU71	0	0	0	0	1109	0	0	0	1850	0
OTU72	379	0	1102	6	0	1448	0	0	0	0
OTU73	1754	0	0	0	0	0	2	1163	0	0
OTU74	0	0	0	1071	9	0	0	0	2	1816
OTU75	2	0	23	112	24	11	335	10	0	2288
OTU76	9	0	0	15	0	0	2723	0	28	9
OTU77	0	0	31	367	154	397	25	59	7	1726
OTU78	597	0	59	405	680	114	152	262	457	0
OTU79	0	0	4	32	427	0	0	0	1939	286
OTU80	0	0	39	1380	239	101	773	5	146	5
OTU81	2	0	13	0	0	2499	0	0	0	86
OTU82	603	0	144	116	24	498	866	178	88	44
OTU83	0	0	13	466	1392	2	0	0	330	278
OTU84	0	0	46	29	71	0	2	6	626	1664
OTU85	609	0	176	26	5	1306	253	0	51	3
OTU86	1299	0	25	0	11	679	194	137	0	0
OTU87	0	0	0	41	1917	3	0	0	270	0
OTU88	0	0	0	98	684	0	0	0	366	1040
OTU89	110	0	5	25	41	111	1766	82	35	0
OTU90	548	0	472	22	73	726	270	0	18	35
OTU91	122	0	100	57	50	138	1554	25	47	10
OTU92	1533	0	0	0	512	0	1	0	0	0
OTU93	1008	0	22	0	23	115	216	371	278	0
OTU94	939	0	0	0	0	25	1003	5	0	0
OTU95	729	0	309	0	77	681	10	0	50	60
OTU96	0	0	0	0	1578	0	0	0	277	0
OTU97	1021	0	8	24	0	122	450	11	0	207
OTU98	89	0	378	774	210	0	107	94	71	73
OTU99	0	0	0	0	0	1771	0	0	0	0
OTU100	1736	0	0	0	0	0	7	11	0	0
OTU101	0	0	0	657	0	0	0	0	2	1029
OTU102	0	0	0	17	0	0	0	325	0	1326
OTU103	468	0	250	6	0	573	231	40	5	53
OTU104	1546	0	9	0	0	0	13	0	0	4
OTU105	43	0	1119	16	0	222	41	6	0	101
OTU106	53	0	0	79	1113	185	1	0	11	45
OTU107	167	0	820	0	0	203	222	0	56	0
OTU108	347	1	183	116	0	256	41	404	16	91
OTU109	0	0	0	45	11	0	0	0	139	1243
OTU110	65	0	2	0	242	0	1008	87	0	17
OTU111	0	0	76	0	0	1299	0	0	5	9
OTU112	587	0	54	104	115	117	102	28	215	15
OTU113	0	0	329	0	0	993	0	0	0	0
OTU114	250	0	28	0	10	208	704	8	100	6
OTU115	0	0	0	704	594	0	0	0	0	10
OTU116	461	0	0	0	0	47	689	67	0	0
OTU117	4	0	65	136	80	44	51	0	86	788
OTU118	0	0	776	40	90	143	16	64	3	119
OTU119	1250	0	0	0	0	0	0	0	0	0
OTU120	10	0	742	58	92	297	1	0	1	46
OTU121	621	0	266	0	0	221	41	37	48	0
OTU122	589	1	486	17	4	100	3	0	0	13
OTU123	0	0	381	571	0	1	0	98	8	154
OTU124	0	0	0	1204	0	0	0	0	0	0
OTU125	1082	0	0	0	0	0	22	10	54	24
OTU126	147	0	8	0	0	22	849	153	6	0
OTU127	0	0	311	37	56	401	0	0	269	110
OTU128	98	0	5	197	136	19	123	9	144	444
OTU129	0	0	0	70	26	0	0	5	0	1071
OTU130	27	0	115	118	546	153	28	2	82	78
OTU131	937	0	0	192	0	0	17	0	0	0
OTU132	362	0	107	38	87	263	168	43	22	43
OTU133	62	0	31	33	69	189	213	0	6	477
OTU134	14	0	23	120	74	302	410	0	126	0
OTU135	66	0	65	82	24	620	91	14	5	87
OTU136	0	0	56	0	0	0	5	0	15	976
OTU137	0	0	0	0	0	0	0	0	1033	0
OTU138	119	0	473	52	27	107	50	0	0	196
OTU139	387	0	8	164	5	188	163	10	7	88
OTU140	578	0	0	0	67	0	243	20	53	33
OTU141	351	0	127	4	63	91	176	117	7	30
OTU142	432	0	7	32	15	59	349	48	20	2
OTU143	0	0	0	153	73	192	0	0	320	215
OTU144	0	0	0	905	42	0	0	0	0	0
OTU145	0	0	892	12	0	0	0	0	0	34
OTU146	0	0	0	609	21	0	0	0	0	300
OTU147	0	0	0	667	0	0	0	0	0	248
