Order	4robles_ITS2	C-_ITS2	Gambita_1_ITS2	La_Palma5_ITS2	N5_ITS2	Nuevo_Horizonte_ITS2	Pcf1_ITS2	Pcov3_ITS2	San_Isidro_ITS2	Santa_BarbT1_ITS2
?;?;?;?	28	0	24	16	23	18	14	23	9	112
Fungi;?;?;?	3498	0	3896	7625	6304	5941	3251	3052	2019	14809
Fungi;Ascomycota;?;?	1844	0	2249	1496	1064	3423	1719	2916	1132	1245
Fungi;Ascomycota;Archaeorhizomycetes;?	0	0	72	54	14	369	1	80	0	6
Fungi;Ascomycota;Archaeorhizomycetes;Archaeorhizomycetales	10	0	2382	156	7	3030	1	390	163	0
Fungi;Ascomycota;Archaeorhizomycetes;unidentified	0	0	192	0	2	98	0	0	0	11
Fungi;Ascomycota;Dothideomycetes;?	26	0	50	754	64	127	25	0	96	329
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales	5	0	0	0	0	41	17	0	0	11
Fungi;Ascomycota;Dothideomycetes;Capnodiales	1	0	15	42	0	2	4	0	361	0
Fungi;Ascomycota;Dothideomycetes;Dothideales	0	0	4	0	0	0	0	11	2	0
Fungi;Ascomycota;Dothideomycetes;Mytilinidales	3059	0	1504	820	805	450	1252	741	507	113
Fungi;Ascomycota;Dothideomycetes;Pleosporales	210	0	91	317	31	140	88	16	82	61
Fungi;Ascomycota;Dothideomycetes;Tubeufiales	12	0	0	0	0	3	2	6	5	0
Fungi;Ascomycota;Dothideomycetes;Venturiales	25	0	9	8	0	28	29	0	0	0
Fungi;Ascomycota;Dothideomycetes;unidentified	18	0	6	0	9	1	36	110	106	0
Fungi;Ascomycota;Eurotiomycetes;?	324	0	477	1442	762	92	525	317	3136	1903
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales	8199	0	4656	5348	4381	4577	3422	1273	5391	1544
Fungi;Ascomycota;Eurotiomycetes;Coryneliales	0	0	14	0	0	0	13	0	0	0
Fungi;Ascomycota;Eurotiomycetes;Eurotiales	3236	0	671	2283	4460	2641	2779	3168	3678	2278
Fungi;Ascomycota;Eurotiomycetes;Onygenales	2	0	0	0	0	0	3	0	0	0
Fungi;Ascomycota;Eurotiomycetes;Sclerococcales	5	0	14	0	0	4	0	0	0	0
Fungi;Ascomycota;Lecanoromycetes;?	0	0	210	0	0	173	0	0	0	0
Fungi;Ascomycota;Lecanoromycetes;Branch07	0	0	0	0	0	75	0	0	0	0
Fungi;Ascomycota;Lecanoromycetes;Lecanorales	0	0	0	0	0	0	0	0	22	0
Fungi;Ascomycota;Lecanoromycetes;Ostropales	0	0	131	0	0	386	0	0	21	0
Fungi;Ascomycota;Lecanoromycetes;Pertusariales	0	0	0	0	0	0	0	0	0	32
Fungi;Ascomycota;Leotiomycetes;?	627	12	1712	787	310	2212	395	239	71	1516
Fungi;Ascomycota;Leotiomycetes;Helotiales	4428	1	16461	7435	8477	17132	1777	2330	13997	10774
Fungi;Ascomycota;Leotiomycetes;Thelebolales	57	0	2	13	0	80	4	0	3	16
Fungi;Ascomycota;Orbiliomycetes;?	8	0	0	0	0	40	1	140	0	20
Fungi;Ascomycota;Orbiliomycetes;Orbiliales	0	0	0	248	0	0	0	602	0	0
Fungi;Ascomycota;Pezizomycetes;Pezizales	41	0	485	99	3	77	4	3	5	171
Fungi;Ascomycota;Saccharomycetes;?	10346	0	2602	2010	2250	4316	1468	1403	344	4643
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales	1784	0	860	566	654	1055	933	1472	1322	3423
Fungi;Ascomycota;Sordariomycetes;?	276	0	103	400	698	214	243	161	697	113
Fungi;Ascomycota;Sordariomycetes;Boliniales	27	0	31	26	20	82	35	23	4	38
Fungi;Ascomycota;Sordariomycetes;Chaetosphaeriales	965	0	906	3181	2185	1927	884	660	654	3075
Fungi;Ascomycota;Sordariomycetes;Coniochaetales	21	0	56	13	6	15	6	0	184	0
