Phylum	4robles_ITS2	C-_ITS2	Gambita_1_ITS2	La_Palma5_ITS2	N5_ITS2	Nuevo_Horizonte_ITS2	Pcf1_ITS2	Pcov3_ITS2	San_Isidro_ITS2	Santa_BarbT1_ITS2
?;?	28	0	24	16	23	18	14	23	9	112
Fungi;?	3498	0	3896	7625	6304	5941	3251	3052	2019	14809
Fungi;Ascomycota	42895	14	40958	30970	32148	50086	21369	18263	35224	39723
Fungi;Basidiomycota	102807	3	70340	72410	76375	74731	67592	39767	81763	48271
Fungi;Calcarisporiellomycota	65	0	21	4	23	19	10	1	33	4
Fungi;Chytridiomycota	1254	0	212	146	59	455	2415	66	104	81
Fungi;Glomeromycota	4	0	63	0	0	215	0	71	0	25
Fungi;Kickxellomycota	36	0	39	49	24	26	9	26	114	332
Fungi;Mortierellomycota	4438	0	2502	5860	1833	6163	26735	9377	3150	10646
Fungi;Mucoromycota	482	0	5291	10003	6951	1821	417	780	6946	12478
Fungi;Rozellomycota	362	0	710	136	66	768	525	401	81	284
Fungi;unidentified	323	0	957	2542	5068	335	105	694	2137	4877
Protista;unidentified	6	0	46	15	11	18	5	2	5	18
Rhizaria;Cercozoa	96	0	152	216	75	326	113	116	40	218
noHit;	851	0	506	490	500	1692	840	622	638	908
